secid,date,cp_flag,index_flag,days,cusip,ticker,sic,exchange_d,class,issue_type,industry_group,delta,impl_volatility,impl_strike,impl_premium,dispersion,_1_MO,_2_MO,_3_MO,_6_MO,_1_YR,_2_YR,_3_YR,_5_YR,_7_YR,_10_YR,_30_YR,close
108105,27-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-50,0.573306,2577.908,185.4357,0.036313,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-55,0.5525,2627.204,208.3894,0.034946,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-60,0.532546,2674.616,232.7651,0.03374,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-65,0.513559,2721.114,259.1292,0.032665,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-70,0.495522,2767.817,288.2479,0.031911,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-75,0.479005,2816.586,321.7473,0.032219,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-80,0.468861,2873.798,366.0698,0.039758,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-85,0.47416,2955.301,436.9745,0.060132,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-90,0.494459,3080.794,553.1841,0.08081,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,30-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,90,0.624093,2123.627,528.5458,0.03197,0.04,0.07,0.12,0.12,0.14,0.23,0.29,0.39,0.57,0.7,1.31,2626.65
108105,30-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,85,0.605089,2229.259,437.3178,0.036223,0.04,0.07,0.12,0.12,0.14,0.23,0.29,0.39,0.57,0.7,1.31,2626.65
108105,30-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,80,0.581634,2316.32,365.0274,0.037367,0.04,0.07,0.12,0.12,0.14,0.23,0.29,0.39,0.57,0.7,1.31,2626.65
108105,30-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,75,0.557875,2390.088,306.3084,0.035393,0.04,0.07,0.12,0.12,0.14,0.23,0.29,0.39,0.57,0.7,1.31,2626.65
108105,30-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,70,0.536239,2453.744,258.1961,0.032572,0.04,0.07,0.12,0.12,0.14,0.23,0.29,0.39,0.57,0.7,1.31,2626.65
108105,30-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,60,0.4976,2561.135,183.5419,0.029063,0.04,0.07,0.12,0.12,0.14,0.23,0.29,0.39,0.57,0.7,1.31,2626.65
108105,30-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,55,0.479268,2608.017,153.7774,0.027871,0.04,0.07,0.12,0.12,0.14,0.23,0.29,0.39,0.57,0.7,1.31,2626.65
108105,30-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,50,0.461449,2651.611,127.8963,0.026862,0.04,0.07,0.12,0.12,0.14,0.23,0.29,0.39,0.57,0.7,1.31,2626.65
108105,30-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,40,0.427646,2731.889,85.6823,0.025176,0.04,0.07,0.12,0.12,0.14,0.23,0.29,0.39,0.57,0.7,1.31,2626.65
108105,30-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,35,0.41166,2770.024,68.5273,0.024745,0.04,0.07,0.12,0.12,0.14,0.23,0.29,0.39,0.57,0.7,1.31,2626.65
108105,30-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,30,0.395799,2807.682,53.52428,0.024649,0.04,0.07,0.12,0.12,0.14,0.23,0.29,0.39,0.57,0.7,1.31,2626.65
108105,30-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,45,0.444195,2692.655,105.3396,0.025966,0.04,0.07,0.12,0.12,0.14,0.23,0.29,0.39,0.57,0.7,1.31,2626.65
108105,30-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,65,0.516468,2510.107,217.9501,0.030485,0.04,0.07,0.12,0.12,0.14,0.23,0.29,0.39,0.57,0.7,1.31,2626.65
108105,30-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,25,0.379914,2845.709,40.45089,0.024384,0.04,0.07,0.12,0.12,0.14,0.23,0.29,0.39,0.57,0.7,1.31,2626.65
108105,30-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,20,0.364613,2885.955,29.19473,0.023326,0.04,0.07,0.12,0.12,0.14,0.23,0.29,0.39,0.57,0.7,1.31,2626.65
108105,30-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,15,0.351653,2932.887,19.68259,0.021436,0.04,0.07,0.12,0.12,0.14,0.23,0.29,0.39,0.57,0.7,1.31,2626.65
108105,30-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,10,0.343651,2996.756,11.76815,0.02087,0.04,0.07,0.12,0.12,0.14,0.23,0.29,0.39,0.57,0.7,1.31,2626.65
